Discharge [ft^3/s],Gage height [ft]
841.757573280861, 0.20253164556962025
949.6336814965441, 0.10126582278481013
1229.633144874763, 0.5063291139240507
1355.718667411942, 1.1139240506329113
1444.112401311751, 0.8607594936708861
1511.9976709745981, 1.0126582278481013
1902.3995985823824, 1.7721518987341771
1980.4236534251474, 1.9746835443037973
2312.542780059525, 2.0759493670886076
2520.5554695950486, 2.8354430379746836
2700.3586330411244, 3.1392405063291138
2827.2979030203046, 2.9367088607594938
3028.9824575162147, 2.9367088607594938
3028.9824575162147, 4.30379746835443
3436.842268879354, 4.3544303797468356
3598.4023828979125, 4.151898734177215
3682.0085108700396, 5.012658227848101
3877.293510764596, 4.7594936708860756
4059.558489100887, 4.708860759493671
4527.51970467677, 4.962025316455696
4632.713163202854, 5.3164556962025316
4686.222907466291, 5.7215189873417724
4991.767671756165, 5.367088607594937
5078.502386211038, 6.075949367088607
5166.744164132453, 5.7215189873417724
5535.312504180463, 7.139240506329114
5696.537656171836, 7.037974683544304
6613.766801343176, 8.30379746835443
7167.399235096303, 7.3924050632911396
7902.338173231178, 8.81012658227848
8273.813660436694, 8.50632911392405
8514.802197930241, 8.81012658227848
8966.407114490314, 9.012658227848101
10000, 9.974683544303797
10115.504116871414, 10.582278481012658
10713.347377651484, 10.481012658227847
11025.391378418173, 10.025316455696203
12086.32489249487, 11.594936708860759
12800.64696691574, 11.69620253164557
13479.562926562341, 12.253164556962025
16105.808969770833, 12.455696202531646
17655.61268384075, 12.60759493670886
18065.827344793353, 13.367088607594937
24073.882398840877, 14.531645569620252
44758.221165917224, 19.037974683544302
48504.89135536439, 19.79746835443038